Quadrat_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
OC-Q1,0.11629986763000488,0.18180552124977112,0.11972712725400925,0.1311725527048111,0.1347866654396057,0.1292686015367508,0.12902337312698364,0.10799262672662735,0.11182300001382828,0.11142388731241226,0.12310440093278885,0.14324578642845154,0.1305077075958252,0.1482403725385666,0.16995353996753693,0.1523486226797104,0.1521383672952652,0.15742631256580353,0.14048516750335693,0.1423611044883728,0.18907664716243744,0.1622178554534912,0.16177955269813538,0.15832917392253876,0.19613611698150635,0.19675683975219727,0.1577039361000061
OC-Q2,0.14803406596183777,0.24999035894870758,0.1577407270669937,0.1873665750026703,0.16397587954998016,0.16632232069969177,0.16018013656139374,0.1538785845041275,0.1458166092634201,0.13743026554584503,0.1493878811597824,0.16926762461662292,0.1672343909740448,0.18598207831382751,0.18118101358413696,0.16572028398513794,0.16150949895381927,0.15012677013874054,0.1571808010339737,0.158199742436409,0.19859714806079865,0.18711458146572113,0.1653866469860077,0.1574232131242752,0.18193493783473969,0.18072599172592163,0.17023716866970062
OC-Q3,0.15370383858680725,0.19915270805358887,0.16713576018810272,0.17454208433628082,0.17058797180652618,0.17006179690361023,0.16893553733825684,0.15995673835277557,0.15696977078914642,0.15111850202083588,0.1695789098739624,0.16778936982154846,0.17916442453861237,0.1946226954460144,0.17250046133995056,0.14099644124507904,0.1679239571094513,0.16479308903217316,0.17268283665180206,0.18368543684482574,0.23740269243717194,0.2111646682024002,0.19575905799865723,0.1912349909543991,0.20792776346206665,0.22090095281600952,0.20807939767837524
OC-Q4,0.07815631479024887,0.10236149281263351,0.09018317610025406,0.10107026994228363,0.12118219584226608,0.11199559271335602,0.11483869701623917,0.10802258551120758,0.10673026740550995,0.09066304564476013,0.1083841621875763,0.1278308928012848,0.12821955978870392,0.12866836786270142,0.15493707358837128,0.15051420032978058,0.1553487479686737,0.13449807465076447,0.13646788895130157,0.13146422803401947,0.17649196088314056,0.15142059326171875,0.1557496339082718,0.1496308445930481,0.1657949686050415,0.15807649493217468,0.14194007217884064
OC-Q5,0.0827818438410759,0.14034594595432281,0.10675755888223648,0.12319236993789673,0.11685322225093842,0.1127149760723114,0.11173779517412186,0.11031341552734375,0.10486622899770737,0.09768704324960709,0.10914601385593414,0.12037403881549835,0.11778554320335388,0.1533338725566864,0.16496825218200684,0.16627277433872223,0.17413806915283203,0.16348721086978912,0.16163359582424164,0.1534929722547531,0.18828381597995758,0.18196062743663788,0.18928402662277222,0.19226716458797455,0.20576487481594086,0.19474124908447266,0.16723203659057617
UG-Q1,0.1348426789045334,0.2594428062438965,0.1513851433992386,0.15706515312194824,0.14201781153678894,0.12902699410915375,0.14407768845558167,0.12319715321063995,0.13630102574825287,0.12022580206394196,0.1337967813014984,0.14682525396347046,0.12970657646656036,0.14078550040721893,0.14616264402866364,0.1433601975440979,0.13702724874019623,0.1438560038805008,0.14600642025470734,0.13555410504341125,0.1718282699584961,0.16498568654060364,0.17478443682193756,0.16271021962165833,0.16394007205963135,0.1750604212284088,0.16085085272789001
UG-Q2,0.13865257799625397,0.22440087795257568,0.1516980528831482,0.16368815302848816,0.14936426281929016,0.14984650909900665,0.14872290194034576,0.1307307779788971,0.13988736271858215,0.14236077666282654,0.15860185027122498,0.1546219140291214,0.16213470697402954,0.16067947447299957,0.16246293485164642,0.1618230938911438,0.15700753033161163,0.16944938898086548,0.1586015820503235,0.1463467925786972,0.20009693503379822,0.182376891374588,0.1898295134305954,0.18647342920303345,0.1966397911310196,0.20409153401851654,0.17947335541248322
UG-Q3,0.11069793999195099,0.13131996989250183,0.10048801451921463,0.09999663382768631,0.10816166549921036,0.12740479409694672,0.11696217209100723,0.10977344214916229,0.1335626095533371,0.11924272775650024,0.11503669619560242,0.12215501815080643,0.12509740889072418,0.13987793028354645,0.1418418139219284,0.13708296418190002,0.14586308598518372,0.15051011741161346,0.13664472103118896,0.14363528788089752,0.16656920313835144,0.16216906905174255,0.15708157420158386,0.15706422924995422,0.17368894815444946,0.17544247210025787,0.16210202872753143
UG-Q4,0.13343819975852966,0.22228510677814484,0.13665443658828735,0.14625877141952515,0.14860470592975616,0.14594367146492004,0.1447603702545166,0.13514362275600433,0.13365881145000458,0.13096265494823456,0.1464489847421646,0.15586617588996887,0.13339781761169434,0.1634475737810135,0.16974112391471863,0.16017481684684753,0.15627241134643555,0.1422286331653595,0.15176795423030853,0.15564009547233582,0.18230083584785461,0.16690553724765778,0.17886431515216827,0.17491896450519562,0.19667629897594452,0.19179046154022217,0.1742514669895172
UG-Q5,0.11945822834968567,0.1936502456665039,0.12558411061763763,0.1420544534921646,0.132699117064476,0.10764501243829727,0.11777014285326004,0.0924491435289383,0.09908830374479294,0.08959739655256271,0.10654156655073166,0.10326502472162247,0.09491779655218124,0.10015948861837387,0.1100069209933281,0.0988558977842331,0.1332911103963852,0.13254481554031372,0.13277074694633484,0.13907906413078308,0.1791883409023285,0.19415175914764404,0.15443184971809387,0.14742690324783325,0.1556367129087448,0.1743319183588028,0.13938438892364502
